beta,alpha,tvd
1.0,8.631674575031098e-5,0.051295143038142976
1.0,9.251199746767564e-5,0.05605947200022317
1.0,9.915190385207948e-5,0.06189770914062587
1.0,0.00010626837930860896,0.06730753294750182
1.0,0.00011389562884970796,0.06783603309279218
1.0,0.0001220703125,0.0682471564202033
1.0,0.00013083172150101232,0.06869247675386242
1.0,0.00014022196716272393,0.06917875737280765
1.0,0.00015028618326964319,0.07007659118726814
1.0,0.00016107274301426937,0.07073962790691979
1.0,0.00017263349150062197,0.07180314840698755
1.0,0.0001850239949353513,0.07299890578444154
1.0,0.00019830380770415897,0.0743233502487507
1.0,0.0002125367586172179,0.0762622116437523
1.0,0.00022779125769941593,0.0796305134870787
1.0,0.000244140625,0.08487957069562682
1.0,0.00026166344300202464,0.09091916075245587
1.0,0.00028044393432544786,0.09941043184406397
1.0,0.00030057236653928637,0.10939448191399669
1.0,0.00032214548602853873,0.12346024044797688
1.0,0.00034526698300124393,0.14095898904176785
1.0,0.0003700479898707026,0.16498362490253213
1.0,0.00039660761540831794,0.17501494065459822
1.0,0.0004250735172344358,0.17501494065459822
1.0,0.00045558251539883185,0.17501494065459822
1.0,0.00048828125,0.17501494065459822
1.0,0.0005233268860040493,0.17501494065459822
1.0,0.0005608878686508957,0.17501494065459822
1.0,0.0006011447330785727,0.17501494065459822
1.0,0.0006442909720570775,0.17501494065459822
1.0,0.0006905339660024879,0.17501494065459822
1.0,0.0007400959797414052,0.17501494065459822
1.0,0.0007932152308166359,0.17501494065459822
1.0,0.0008501470344688716,0.17501494065459822
1.0,0.0009111650307976637,0.17501494065459822
1.0,0.0009765625,0.17501494065459822
1.0,0.0010466537720080985,0.17501494065459822
1.0,0.0011217757373017914,0.17501494065459822
1.0,0.0012022894661571455,0.17501494065459822
1.0,0.001288581944114155,0.17501494065459822
1.0,0.0013810679320049757,0.17501494065459822
1.0,0.0014801919594828103,0.17501494065459822
1.0,0.0015864304616332718,0.17501494065459822
1.0,0.0017002940689377433,0.17501494065459822
1.0,0.0018223300615953274,0.17501494065459822
1.0,0.001953125,0.17501494065459822
1.0,0.002093307544016197,0.36223846464606824
1.0,0.002243551474603583,0.36223846464606824
1.0,0.002404578932314291,0.36223846464606824
1.0,0.00257716388822831,0.36223846464606824
1.0,0.0027621358640099515,0.36223846464606824
1.0,0.0029603839189656206,0.36223846464606824
1.0,0.0031728609232665435,0.36223846464606824
1.0,0.0034005881378754866,0.36223846464606824
1.0,0.003644660123190655,0.36223846464606824
1.0,0.00390625,0.36223846464606824
1.0,0.004186615088032394,0.36223846464606824
1.0,0.004487102949207168,0.36223846464606824
1.0,0.0048091578646285785,0.36223846464606824
1.0,0.00515432777645662,0.36223846464606824
1.0,0.005524271728019903,0.36223846464606824
1.0,0.005920767837931241,0.36223846464606824
1.0,0.0063457218465330905,0.36223846464606824
1.0,0.006801176275750969,0.36223846464606824
1.0,0.00728932024638131,0.36223846464606824
1.0,0.0078125,0.36223846464606824
1.0,0.008373230176064788,0.36223846464606824
1.0,0.008974205898414337,0.36223846464606824
1.0,0.009618315729257157,0.36223846464606824
1.0,0.01030865555291324,0.36223846464606824
1.0,0.011048543456039806,0.36223846464606824
1.0,0.011841535675862483,0.36223846464606824
1.0,0.012691443693066181,0.36223846464606824
1.0,0.013602352551501938,0.36223846464606824
1.0,0.01457864049276262,0.36223846464606824
1.0,0.015625,0.36223846464606824
1.0,0.016746460352129577,0.36223846464606824
